date,name,cylinder_c,cylinder_d,cylinder_e,cylinder_f8,cylinder_f9,cylinder_g,total
1/01/2017,Armadale-Kelmscott Memorial Hospital,0,0,0,1,0,0,233
1/01/2017,Bentley Hospital,0,0,2,0,0,0,33.6
1/01/2017,Fiona Stanley Hospital,0,0,0,2,0,0,466
1/01/2017,Kalamunda District Community Hospital,0,0,2,0,0,0,33.6
1/01/2017,Osborne Park Hospital,0,0,0,0,0,4,146.4
1/01/2017,Rockingham General Hospital,0,0,0,1,0,0,233
1/01/2017,Sir Charles Gairdner Hospital,1,0,0,0,0,0,1.8
1/01/2017,South Perth Hospital,0,0,0,0,0,1,36.6
1/04/2017,Armadale-Kelmscott Memorial Hospital,0,0,0,1,0,0,233
1/04/2017,Fiona Stanley Hospital,0,0,0,1,0,0,233
1/04/2017,Osborne Park Hospital,0,0,0,0,0,4,146.4
1/04/2017,Rockingham General Hospital,0,0,0,1,0,0,233
1/04/2017,Sir Charles Gairdner Hospital,0,1,0,0,0,0,6.6
1/07/2017,Armadale-Kelmscott Memorial Hospital,0,0,0,1,0,0,233
1/07/2017,Bentley Hospital,0,0,2,0,0,0,33.6
1/07/2017,Fiona Stanley Hospital,0,0,0,2,0,0,466
1/07/2017,Kalamunda District Community Hospital,0,0,2,0,0,0,33.6
1/07/2017,Osborne Park Hospital,0,0,0,0,0,4,146.4
1/07/2017,Perth Children's Hospital - Pack Store,0,0,0,0,0,2,73.2
1/07/2017,Rockingham General Hospital,0,0,0,1,0,0,233
1/07/2017,Royal Perth Hospital - Theatres,2,0,0,0,0,0,3.5
1/10/2017,Armadale-Kelmscott Memorial Hospital,0,0,0,1,0,0,233
1/10/2017,Bentley Hospital,0,0,2,0,0,0,33.6
1/10/2017,Osborne Park Hospital,0,0,0,0,0,4,146.4
1/10/2017,Sir Charles Gairdner Hospital,0,2,0,0,0,0,13.2
1/01/2018,Armadale-Kelmscott Memorial Hospital,1,0,0,1,0,0,234.8
1/01/2018,Kalamunda District Community Hospital,0,0,2,0,0,0,33.6
1/01/2018,Osborne Park Hospital,0,0,0,0,0,4,146.4
1/01/2018,Rockingham General Hospital,4,0,0,0,0,0,7
1/01/2018,Sir Charles Gairdner Hospital,0,2,0,0,0,0,13.2
1/01/2018,South Perth Hospital,0,0,0,0,0,1,36.6
1/06/2018,Armadale-Kelmscott Memorial Hospital,0,0,0,2,0,0,466
1/06/2018,Bentley Hospital,0,0,2,0,0,0,33.6
1/06/2018,Bethesda Hospital,0,0,0,0,0,2,73.2
1/06/2018,Fremantle Hospital,0,0,0,0,0,2,73.2
1/06/2018,Perth Children's Hospital - Theatre,2,0,0,0,0,0,3.5
1/06/2018,Rockingham General Hospital,0,0,0,1,0,0,233
1/06/2018,Royal Perth Hospital - Theatres,1,0,0,0,0,0,1.8
