date,name,cylinder,units
Jan-17,Albany Hospital,cylinder_d,1
Jan-17,Albany Hospital,cylinder_g,2
Jan-17,Busselton Hospital,cylinder_g,2
Jan-17,Derby Hospital,cylinder_e,2
Jan-17,Kununurra Hospital,cylinder_e,2
Feb-17,Albany Hospital,cylinder_g,2
Feb-17,Boddington Hospital,cylinder_d,1
Feb-17,Broome Hospital,cylinder_d,4
Feb-17,Busselton Hospital,cylinder_g,0
Feb-17,WACHS South West Pharmacy Dept Busselton,cylinder_g,2
Feb-17,Derby Hospital,cylinder_e,2
Feb-17,Kalgoorlie Hospital,cylinder_f8,1
Feb-17,Margaret River Hospital,cylinder_g,2
Feb-17,Hedland Health Campus,cylinder_g,2
Mar-17,Albany Hospital,cylinder_d,1
Mar-17,Albany Hospital,cylinder_g,4
Mar-17,Broome Hospital,cylinder_g,2
Mar-17,Denmark Hospital,cylinder_g,1
Mar-17,Katanning Hospital,cylinder_e,2
Mar-17,Kununurra Hospital,cylinder_e,2
Mar-17,Margaret River Hospital,cylinder_g,1
Mar-17,Northam Hospital,cylinder_g,2
Apr-17,Albany Hospital,cylinder_g,2
Apr-17,Busselton Hospital,cylinder_g,2
Apr-17,WACHS South West Pharmacy Dept Collie,cylinder_e,2
Apr-17,Geraldton Hospital,cylinder_g,2
Apr-17,Kununurra Hospital,cylinder_e,2
Apr-17,Warren Hospital,cylinder_e,2
May-17,Albany Hospital,cylinder_g,4
May-17,Bridgetown Hospital,cylinder_g,2
May-17,Kununurra Hospital,cylinder_c,1
Jun-17,Albany Hospital,cylinder_g,4
Jun-17,Broome Hospital,cylinder_g,2
Jun-17,Busselton Hospital,cylinder_g,2
Jun-17,Carnarvon Hospital,cylinder_g,3
Jun-17,Derby Hospital,cylinder_e,2
Jun-17,Esperance Hospital,cylinder_g,2
Jun-17,Geraldton Hospital,cylinder_g,2
Jun-17,Karratha Health Campus,cylinder_g,4
Jun-17,Kununurra Hospital,cylinder_c,1
Jun-17,Kununurra Hospital,cylinder_e,2
Jun-17,Warren Hospital,cylinder_e,4
Jul-17,Albany Hospital,cylinder_g,2
Jul-17,Broome Hospital,cylinder_g,2
Jul-17,Esperance Hospital,cylinder_g,1
Jul-17,Narrogin Hospital,cylinder_e,2
Aug-17,Albany Hospital,cylinder_g,4
Aug-17,Broome Hospital,cylinder_d,1
Aug-17,WACHS South West Pharmacy Dept Busselton,cylinder_g,4
Aug-17,Katanning Hospital,cylinder_e,2
Aug-17,Kununurra Hospital,cylinder_e,2
Aug-17,Hedland Health Campus,cylinder_g,2
Sep-17,Albany Hospital,cylinder_g,2
Sep-17,Kalgoorlie Hospital,cylinder_f8,1
Oct-17,Albany Hospital,cylinder_c,1
Oct-17,Albany Hospital,cylinder_g,2
Oct-17,Boddington Hospital,cylinder_d,1
Oct-17,Bridgetown Hospital,cylinder_g,4
Oct-17,Broome Hospital,cylinder_g,2
Oct-17,Geraldton Hospital,cylinder_g,2
Oct-17,Kununurra Hospital,cylinder_e,2
Oct-17,Narrogin Hospital,cylinder_e,2
Oct-17,Hedland Health Campus,cylinder_g,3
Nov-17,Albany Hospital,cylinder_g,4
Nov-17,Broome Hospital,cylinder_d,1
Dec-17,Albany Hospital,cylinder_g,4
Dec-17,Broome Hospital,cylinder_g,2
Dec-17,WACHS South West Pharmacy Dept Busselton,cylinder_g,2
Dec-17,Kununurra Hospital,cylinder_e,2
Dec-17,Narrogin Hospital,cylinder_g,4
Jan-18,Albany Hospital,cylinder_g,2
Jan-18,Katanning Hospital,cylinder_e,2
Jan-18,Hedland Health Campus,cylinder_g,1
Feb-18,Albany Hospital,cylinder_g,4
Feb-18,Broome Hospital,cylinder_d,1
Feb-18,Derby Hospital,cylinder_e,2
Feb-18,Karratha Health Campus,cylinder_g,4
Feb-18,Kununurra Hospital,cylinder_c,1
Feb-18,Kununurra Hospital,cylinder_e,2
Feb-18,Hedland Health Campus,cylinder_g,2
Mar-18,Albany Hospital,cylinder_g,4
Mar-18,Broome Hospital,cylinder_g,2
Mar-18,WACHS South West Pharmacy Dept Busselton,cylinder_g,2
Mar-18,Warren Hospital,cylinder_g,4
Apr-18,Albany Hospital,cylinder_g,6
Apr-18,Boddington Hospital,cylinder_d,1
Apr-18,Broome Hospital,cylinder_d,3
Apr-18,Geraldton Hospital,cylinder_g,2
Apr-18,Kununurra Hospital,cylinder_e,2
Apr-18,Hedland Health Campus,cylinder_g,2
May-18,Broome Hospital,cylinder_d,1
May-18,Kalgoorlie Hospital,cylinder_f8,1
May-18,Katanning Hospital,cylinder_e,2
May-18,Kununurra Hospital,cylinder_e,2
May-18,Hedland Health Campus,cylinder_c,1
Jun-18,Albany Hospital,cylinder_g,2
Jun-18,Broome Hospital,cylinder_g,2
Jun-18,Derby Hospital,cylinder_e,2
Jun-18,Karratha Health Campus,cylinder_g,4
Jun-18,Hedland Health Campus,cylinder_g,2
Jul-18,Albany Hospital,cylinder_g,2
Jul-18,Broome Hospital,cylinder_d,1
Jul-18,WACHS South West Pharmacy Dept Busselton,cylinder_g,2
Jul-18,Plantagenet Hospital,cylinder_e,1
Jul-18,Narrogin Hospital,cylinder_g,2
Aug-18,Albany Hospital,cylinder_g,4
Aug-18,Bunbury Hospital,cylinder_c,0
Aug-18,Derby Hospital,cylinder_e,2
Aug-18,Fitzroy Crossing Hospital,cylinder_d,1
Aug-18,Geraldton Hospital,cylinder_g,2
Aug-18,Karratha Health Campus,cylinder_g,4
Sep-18,Albany Hospital,cylinder_g,2
Sep-18,Karratha Health Campus,cylinder_g,2
Sep-18,Hedland Health Campus,cylinder_g,2
Oct-18,Albany Hospital,cylinder_g,4
Oct-18,Boddington Hospital,cylinder_d,1
Oct-18,Broome Hospital,cylinder_d,1
Oct-18,WACHS South West Pharmacy Dept Collie,cylinder_e,2
Oct-18,Derby Hospital,cylinder_e,2
Oct-18,Esperance Hospital,cylinder_g,2
Oct-18,Kununurra Hospital,cylinder_e,2
Nov-18,Albany Hospital,cylinder_g,4
Nov-18,WACHS South West Pharmacy Dept Busselton,cylinder_g,2
Dec-18,Albany Hospital,cylinder_g,4
Dec-18,Broome Hospital,cylinder_g,2
Dec-18,Derby Hospital,cylinder_e,2
Dec-18,Northam Hospital,cylinder_g,2
Dec-18,Hedland Health Campus,cylinder_g,4
Jan-19,Albany Hospital,cylinder_g,2
Jan-19,Derby Hospital,cylinder_e,2
Jan-19,Geraldton Hospital,cylinder_g,2
Jan-19,Karratha Health Campus,cylinder_g,4
Jan-19,Merredin Hospital,cylinder_e,1
Jan-19,Mullewa Hospital,cylinder_d,1
Feb-19,Albany Hospital,cylinder_g,4
Feb-19,Broome Hospital,cylinder_d,1
Feb-19,Broome Hospital,cylinder_g,4
Feb-19,WACHS South West Pharmacy Dept Busselton,cylinder_g,2
Feb-19,Derby Hospital,cylinder_e,2
